area_id,date,time_slice,passers_by,unique_passers_by
R005C009,2026-09-21,"[19:00,20:00)",5596,4223
R019C004,2026-09-21,"[07:00,08:00)",5476,3955
R003C012,2026-09-21,"[09:00,10:00)",19938,18062
R015C004,2026-09-21,"[15:00,16:00)",6372,4542
R013C013,2026-09-21,"[10:00,11:00)",59349,46369
R017C007,2026-09-21,"[22:00,23:00)",1041,818
R013C010,2026-09-21,"[23:00,00:00)",7796,5913
R015C013,2026-09-21,"[20:00,21:00)",12433,9535
R011C006,2026-09-21,"[22:00,23:00)",12495,9582
R013C020,2026-09-21,"[12:00,13:00)",2288,1381
R016C004,2026-09-21,"[05:00,06:00)",482,423
R012C013,2026-09-21,"[03:00,04:00)",2074,1342
R010C001,2026-09-21,"[19:00,20:00)",15351,14348
R015C019,2026-09-21,"[04:00,05:00)",980,891
R015C019,2026-09-21,"[15:00,16:00)",12994,12080
R019C005,2026-09-21,"[03:00,04:00)",393,258
R004C012,2026-09-21,"[22:00,23:00)",6523,5488
R020C010,2026-09-21,"[17:00,18:00)",34807,25793
R005C009,2026-09-21,"[21:00,22:00)",2694,2132
R012C001,2026-09-21,"[05:00,06:00)",936,832
R015C008,2026-09-21,"[19:00,20:00)",2685,2230
R017C008,2026-09-21,"[14:00,15:00)",2170,1861
R004C012,2026-09-21,"[15:00,16:00)",27802,23119
R004C007,2026-09-21,"[13:00,14:00)",22915,16484
R016C000,2026-09-21,"[07:00,08:00)",88,88
R012C009,2026-09-21,"[19:00,20:00)",86562,61789
R010C002,2026-09-21,"[17:00,18:00)",62551,51974
R018C002,2026-09-21,"[02:00,03:00)",83,47
R011C003,2026-09-21,"[21:00,22:00)",13057,9333
R006C011,2026-09-21,"[13:00,14:00)",30453,24270
R006C010,2026-09-21,"[05:00,06:00)",2526,2204
R007C008,2026-09-21,"[21:00,22:00)",27506,22534
R005C017,2026-09-21,"[21:00,22:00)",3609,3053
R005C009,2026-09-21,"[07:00,08:00)",7400,6228
R019C010,2026-09-21,"[06:00,07:00)",11955,9224
R003C014,2026-09-21,"[11:00,12:00)",1827,1040
R019C009,2026-09-21,"[17:00,18:00)",10206,7977
R010C000,2026-09-21,"[08:00,09:00)",24940,23569
R011C004,2026-09-21,"[09:00,10:00)",24657,19340
R006C013,2026-09-21,"[06:00,07:00)",8514,7903
R002C018,2026-09-21,"[20:00,21:00)",9699,7778
R003C017,2026-09-21,"[04:00,05:00)",805,640
R016C012,2026-09-21,"[16:00,17:00)",27943,21078
R018C012,2026-09-21,"[22:00,23:00)",1099,751
R010C013,2026-09-21,"[12:00,13:00)",44453,34206
R006C008,2026-09-21,"[11:00,12:00)",30129,21612
R004C013,2026-09-21,"[21:00,22:00)",3259,2364
R004C014,2026-09-21,"[13:00,14:00)",1225,907
R013C015,2026-09-21,"[11:00,12:00)",14198,12660
R009C000,2026-09-21,"[06:00,07:00)",641,617
R014C002,2026-09-21,"[02:00,03:00)",199,102
R011C000,2026-09-21,"[15:00,16:00)",35605,33925
R009C000,2026-09-21,"[14:00,15:00)",1252,1241
R019C007,2026-09-21,"[16:00,17:00)",9413,6958
R015C009,2026-09-21,"[02:00,03:00)",166,119
R008C015,2026-09-21,"[18:00,19:00)",13887,11533
R021C007,2026-09-21,"[22:00,23:00)",443,349
R012C005,2026-09-21,"[16:00,17:00)",31440,21404
R017C017,2026-09-21,"[22:00,23:00)",411,375
R012C014,2026-09-21,"[07:00,08:00)",64712,50351
R017C012,2026-09-21,"[13:00,14:00)",7589,4879
R009C005,2026-09-21,"[23:00,00:00)",8784,7015
R003C011,2026-09-21,"[10:00,11:00)",7286,5778
R016C003,2026-09-21,"[04:00,05:00)",35,35
R015C002,2026-09-21,"[10:00,11:00)",2136,1523
R008C016,2026-09-21,"[18:00,19:00)",5752,4831
R019C009,2026-09-21,"[21:00,22:00)",3327,2559
R015C008,2026-09-21,"[10:00,11:00)",4087,3020
R019C011,2026-09-21,"[12:00,13:00)",19596,13487
R008C018,2026-09-21,"[02:00,03:00)",408,194
R018C013,2026-09-21,"[23:00,00:00)",130,86
R006C014,2026-09-21,"[19:00,20:00)",37205,27441
R007C011,2026-09-21,"[20:00,21:00)",6095,4918
R021C009,2026-09-21,"[03:00,04:00)",648,415
R013C006,2026-09-21,"[07:00,08:00)",18419,14444
R015C019,2026-09-21,"[19:00,20:00)",9736,9137
R018C008,2026-09-21,"[02:00,03:00)",336,194
R019C005,2026-09-21,"[06:00,07:00)",6213,4953
R014C006,2026-09-21,"[18:00,19:00)",3360,2558
R008C017,2026-09-21,"[22:00,23:00)",385,353
R017C010,2026-09-21,"[13:00,14:00)",20588,16615
R017C017,2026-09-21,"[15:00,16:00)",2808,2598
R016C013,2026-09-21,"[08:00,09:00)",8017,6392
R015C004,2026-09-21,"[02:00,03:00)",285,107
R010C018,2026-09-21,"[06:00,07:00)",9940,8609
R003C014,2026-09-21,"[23:00,00:00)",338,245
R011C011,2026-09-21,"[02:00,03:00)",6049,3375
R022C009,2026-09-21,"[18:00,19:00)",12910,10220
R015C009,2026-09-21,"[05:00,06:00)",624,506
R012C001,2026-09-21,"[04:00,05:00)",318,271
R012C016,2026-09-21,"[05:00,06:00)",1752,1511
R013C006,2026-09-21,"[18:00,19:00)",16672,12550
R017C011,2026-09-21,"[21:00,22:00)",3736,3368
R022C011,2026-09-21,"[20:00,21:00)",3168,2785
R010C002,2026-09-21,"[02:00,03:00)",1823,1259
R021C004,2026-09-21,"[19:00,20:00)",1022,726
R014C015,2026-09-21,"[10:00,11:00)",39414,28919
R020C012,2026-09-21,"[14:00,15:00)",2667,1946
R014C021,2026-09-21,"[17:00,18:00)",3084,2591
